A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A3,B65,CW2,DQ5,DR1,NULL,NULL,NULL,7.02325e-05
A3,B65,CW8,DQ2,DR17,NULL,DR52,NULL,0.000290963
A3,B65,CW8,DQ2,DR7,NULL,NULL,DR53,0.000933089
A3,B65,CW8,DQ5,DR1,NULL,NULL,NULL,0.001384583
A3,B65,CW8,DQ6,DR13,NULL,DR52,NULL,0.002759133
A3,B65,CW8,DQ6,DR15,DR51,NULL,NULL,0.001484915
A3,B65,CW8,DQ7,DR11,NULL,DR52,NULL,5.0166e-05
A3,B65,CW8,DQ7,DR13,NULL,DR52,NULL,6.01993e-05
A3,B65,CW8,DQ7,DR4,NULL,NULL,DR53,0.000120399
A3,B65,CW8,DQ8,DR4,NULL,NULL,DR53,0.000150498
A3,B7,CW12,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B7,CW15,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B7,CW15,DQ5,DR10,NULL,NULL,NULL,6.01993e-05
A3,B7,CW15,DQ5,DR15,DR51,NULL,NULL,6.01993e-05
A3,B7,CW15,DQ6,DR17,NULL,DR52,NULL,6.01993e-05
A3,B7,CW15,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B7,CW2,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B7,CW2,DQ6,DR15,DR51,NULL,NULL,6.01993e-05
A3,B7,CW5,DQ4,DR8,NULL,NULL,DR53,6.01993e-05
